2025/09/30 Assy


temp_top:0565
temp_bot:0867
temp_mis7:05C3
pd:0557
Volt1,Curr1,Volt2,Curr2
0000,0000,0000,0000
0013,0BD5,001B,0C51
0021,0BD3,0025,0C53
0035,0BD3,0035,0C51
0047,0BD3,0043,0C51
0051,0BD3,0051,0C53
005D,0BD1,0067,0C4F
006D,0BCF,0077,0C51
0081,0BD3,0081,0C53
008D,0BD1,008D,0C51
00A7,0BCF,009B,0C4F
00AB,0BCF,00BF,0C4F
00BD,0BCF,00CD,0C4D
00D7,0BD1,00C9,0C4F
00E9,0BCF,00DF,0C4F
00F1,0BCF,0109,0C4D
00FD,0BCF,0107,0C4D
0117,0BCD,0127,0C4B
012B,0BCD,011F,0C4D
0139,0BCD,0147,0C4D
0141,0BCB,013F,0C4D
0159,0BCD,0165,0C4F
0163,0BCD,017B,0C4B
0169,0BCB,0171,0C4B
0189,0BCB,017B,0C4B
018F,0BC9,01AB,0C49
01A3,0BC9,01A5,0C49
01BB,0BC9,01B9,0C49
01CD,0BC9,01C7,0C49
01D9,0BCB,01C9,0C4B
01E1,0BC9,01F1,0C49
01E9,0BC7,01EF,0C47
01FF,0BC7,0221,0C47
0215,0BC7,0211,0C47
0221,0BC7,022B,0C47
023B,0BC5,022D,0C45
023D,0BC3,025D,0C45
024B,0BC7,026F,0C45
025F,0BC5,0277,0C43
0277,0BC3,028B,0C43
0283,0BC3,028B,0C43
0283,0BC3,02B1,0C45
029F,0BC1,029D,0C41
02AB,0BC3,02B1,0C41
02C1,0BC1,02D9,0C41
02D1,0BBF,02ED,0C41
02DB,0BC1,02EF,0C41
02F7,0BBF,02F1,0C41
0307,0BBF,0321,0C3F
0313,0BBF,0319,0C3D
031B,0BBF,0337,0C3D
032F,0BBD,033D,0C3F
0347,0BBD,034F,0C3D
034F,0BBD,035F,0C3D
036D,0BBD,0381,0C3D
036D,0BB9,036F,0C3D
0381,0BBB,0399,0C3D
039D,0BB9,0389,0C39
0399,0BB9,03B3,0C3B
03BF,0BB7,03BD,0C3B
03C3,0BB5,03C1,0C39
03D7,0BB5,03CF,0C37
03EF,0BB7,03FD,0C37
0401,0BB5,0411,0C35
03FB,0BB5,040F,0C35
041B,0BB3,0425,0C33
0419,0BB3,043D,0C35
0433,0BB1,0429,0C33
044D,0BAF,043F,0C31
0463,0BAF,0459,0C33
0467,0BAF,0457,0C2F
047B,0BAD,0465,0C2F
048F,0BAD,047F,0C2D
049D,0BAB,0489,0C2D
04B5,0BA9,04C5,0C29
04C3,0BA9,04C9,0C29
04C1,0BA7,04D9,0C27
04CF,0BA7,04E7,0C25
04F1,0BA7,04FF,0C23
04F1,0BA3,04ED,0C21
04FB,0BA3,04FB,0C1F
0507,0BA1,050D,0C1D
051D,0B9D,0519,0C19
0543,0B9D,054D,0C17
0547,0B9B,0533,0C11
055B,0B99,054B,0C0F
056B,0B97,0589,0C09
0579,0B93,056F,0C03
057D,0B93,0599,0C01
059B,0B8D,05A3,0BF9
059B,0B87,059B,0BF3
05AB,0B83,05A5,0BEB
05BF,0B7F,05B9,0BE1
05DF,0B79,05C5,0BD9
05F1,0B73,05D7,0BCD
05ED,0B6D,05F1,0BC3
0607,0B63,0617,0BB5
0623,0B5D,0633,0BA9
062B,0B51,0637,0B99
0645,0B45,0627,0B8B
064F,0B39,0667,0B7B
064D,0B2F,0669,0B69
065D,0B21,0653,0B57
065F,0B11,0687,0B41
068F,0B03,06A1,0B31
06A1,0AF1,0683,0B19
06A9,0ADB,0695,0AFF
06C3,0AC9,06A3,0AE5
06BB,0AB3,06E5,0AC9
06E1,0A9B,06FB,0AAF
06E9,0A83,06E3,0A91
06E7,0A6B,070F,0A73
0703,0A51,072B,0A53
070D,0A3B,0739,0A33
0721,0A19,0749,0A0F
0727,09FD,074B,09ED
0743,09E1,0739,09C9
0753,09C3,074B,09A5
0765,09A3,074F,097F
0765,0987,0797,0959
0791,0969,0775,0939
0795,0947,078D,0915
0797,0921,07BF,08F7
07C5,08FF,07AF,08DB
07D5,08D9,07BD,08BD
07DF,08B5,07D7,08A3
07E5,0891,07E7,0883
07F3,0869,07F5,0865
0805,0841,0805,083F
0815,081B,0817,0815
0825,07F1,0827,07EB
0837,07C7,0837,07C1
