2025/09/30 単体
temp_top:05B3
temp_bot:05D5
temp_mis7:05D3
pd:0B9F
Volt1,Curr1,Volt2,Curr2
0000,0000,0000,0000
0011,0BA5,0017,0B3F
0023,0BA7,0027,0B3F
0033,0BA5,0035,0B3D
0045,0BA5,0045,0B3D
0053,0BA7,0055,0B3D
0063,0BA5,0065,0B3F
0071,0BA5,0077,0B3D
0083,0BA5,0089,0B3D
0091,0BA5,0097,0B3B
00A3,0BA3,00A9,0B3B
00B3,0BA3,00B5,0B3B
00C1,0BA3,00C3,0B39
00D3,0BA3,00D5,0B39
00E3,0BA3,00E7,0B39
00F3,0BA3,00F9,0B37
00FF,0BA1,0109,0B39
010D,0BA1,0117,0B37
0127,0BA3,0129,0B37
012D,0BA1,013B,0B37
0141,0B9F,0145,0B35
0153,0BA1,0157,0B35
0165,0BA1,016B,0B35
016F,0B9F,017F,0B35
017F,0B9F,018D,0B33
0191,0B9D,0199,0B33
01A3,0B9F,01A9,0B33
01AF,0B9F,01B9,0B33
01C5,0B9F,01C7,0B31
01D3,0B9D,01DB,0B33
01E7,0B9D,01EB,0B31
01F5,0B9B,0201,0B31
0205,0B9B,020B,0B31
020F,0B9B,021B,0B31
0221,0B99,022B,0B2F
0237,0B9B,023B,0B31
0245,0B9B,0249,0B2F
024F,0B9B,025D,0B2F
0263,0B99,026B,0B2F
026D,0B99,027B,0B2D
0283,0B99,028F,0B2D
0293,0B97,029B,0B2B
02A5,0B97,02A9,0B2B
02B1,0B99,02BB,0B2B
02C5,0B95,02C7,0B29
02D3,0B95,02DD,0B29
02E5,0B95,02E7,0B2B
02F5,0B95,02FB,0B2B
02FF,0B93,0309,0B29
0313,0B93,0317,0B27
0321,0B95,0329,0B29
0333,0B95,0339,0B29
0347,0B93,034B,0B27
0353,0B93,0353,0B27
0363,0B93,036B,0B25
036F,0B8F,037B,0B25
0385,0B8F,038B,0B25
0391,0B8F,0397,0B23
03A1,0B8F,03AD,0B23
03B5,0B8F,03BD,0B25
03C5,0B8D,03CB,0B21
03D5,0B8D,03D3,0B21
03E1,0B8D,03E5,0B21
03F3,0B8B,03F9,0B1F
0403,0B89,040D,0B1D
0417,0B89,041B,0B1D
0425,0B87,042D,0B1D
0433,0B89,043B,0B1D
0443,0B85,0447,0B1B
0451,0B87,0459,0B1B
0467,0B85,0469,0B19
0471,0B83,047F,0B19
0485,0B81,048B,0B19
0491,0B81,049D,0B17
04A7,0B7F,04AB,0B17
04B3,0B7F,04B9,0B17
04C9,0B7F,04C7,0B15
04D1,0B7B,04DD,0B15
04DF,0B79,04E5,0B13
04F7,0B79,04FD,0B0F
0505,0B77,0509,0B0F
0511,0B73,0517,0B0B
0525,0B71,0529,0B09
0531,0B6F,053F,0B09
0547,0B6B,054D,0B07
0555,0B67,0557,0B05
0567,0B63,056B,0B01
0571,0B5F,0575,0AFF
0585,0B5B,0587,0AF9
0597,0B55,0599,0AF5
05A7,0B51,05AD,0AF1
05B9,0B49,05B7,0AED
05C5,0B41,05CD,0AE5
05D5,0B3D,05D9,0ADF
05EB,0B31,05EB,0AD7
05F7,0B29,05FF,0ACD
0607,0B1F,0607,0AC3
0613,0B13,061F,0AB9
0625,0B07,062D,0AAF
0635,0AFD,063B,0AA3
0645,0AEF,064B,0A95
0657,0AE1,065F,0A89
0665,0AD1,0667,0A7D
0677,0AC1,0679,0A6B
0689,0AB3,0687,0A5B
0697,0A9F,069B,0A47
06A5,0A8B,06A7,0A35
06B5,0A79,06BD,0A23
06C7,0A65,06C9,0A0D
06D7,0A4F,06DB,09FB
06E3,0A3B,06E9,09E5
06F5,0A27,06F9,09D1
0707,0A11,0707,09B9
0715,09F9,0719,09A3
0725,09DF,0729,098B
0737,09C7,0739,0975
0745,09AD,0749,095B
0755,0995,0759,0945
0765,097D,0769,092F
0775,0965,0779,0919
0783,094B,0787,08FF
0791,0931,0797,08EB
07A5,0913,07A7,08D5
07B5,08F9,07B7,08C1
07C7,08DB,07C7,08AD
07D7,08BF,07D9,0897
07E3,08A5,07E3,0883
07F5,0887,07F3,0871
0807,086D,0805,085F
0813,084D,0815,084F
0825,0831,0827,083B
0837,0813,0837,081D
0845,07F5,0847,0801
0855,07D7,0859,07E5
0000,0000,0869,0787
